frame,G908R_febuxostat_rep1,G908R_febuxostat_rep2,G908R_febuxostat_rep3,G908R_natural_rep1,G908R_natural_rep2,G908R_natural_rep3,R702W_febuxostat_rep1,R702W_febuxostat_rep2,R702W_febuxostat_rep3,R702W_natural_rep1,R702W_natural_rep2,R702W_natural_rep3
72,184.5935,132.3655,130.6873,181.8502,184.6460,131.1865,128.7334,128.2934,134.6013,184.5916,184.0255,129.2532
73,185.1524,132.8063,130.2364,182.2172,185.1926,131.1974,128.8340,128.5853,134.0817,184.1317,182.8880,129.9759
74,185.2110,132.4684,130.3557,182.4446,185.2679,130.9425,128.7925,129.0262,134.2008,183.7210,183.0522,129.6011
75,184.7588,132.4313,130.4281,182.6902,185.2950,131.1653,129.1136,129.0286,134.1871,183.3498,182.1728,129.9814
76,184.8212,132.1311,130.6071,126.8347,184.9663,131.6704,128.8980,128.8934,188.1882,183.7676,182.4883,129.5838
77,185.6506,131.5217,129.8222,126.5227,184.6595,131.8856,129.9440,128.9928,134.4956,183.5057,129.7793,129.3512
78,185.4698,131.4267,130.1217,126.8614,184.5339,131.7070,129.8478,129.6963,133.5805,183.6783,129.5867,129.0583
79,184.6773,131.9042,129.8119,127.0968,185.7572,131.9295,130.7346,130.4161,133.8336,183.8791,129.1686,129.1395
80,184.3326,131.6078,129.2032,127.1362,185.0719,132.0190,130.7677,130.7356,133.3928,183.9095,128.7909,129.6727
81,183.9701,131.6198,129.3278,127.0331,185.1142,131.8906,130.7372,130.6314,133.8957,184.1627,129.2137,129.0123
82,184.1131,130.8911,129.2796,127.1606,184.7973,132.3628,130.7299,130.2700,133.3508,184.3063,129.9384,129.2039
83,184.3387,131.4082,129.3365,127.5906,184.3493,132.4442,130.7383,130.2213,133.3940,184.1017,129.9568,129.2209
84,185.0145,131.6195,129.4147,128.1575,184.8807,131.8851,130.6583,130.1206,133.7123,183.6055,183.7344,128.9549
85,184.5680,130.9446,129.5573,127.5804,185.6137,132.3800,130.7955,130.3941,133.7395,183.5232,184.3066,128.6223
86,185.2719,130.5462,129.2641,127.8480,185.7559,132.2499,130.2984,129.6719,133.8024,183.8875,183.5536,128.9712
87,185.4446,130.3052,129.1896,128.1394,185.2334,132.3350,130.2785,130.0929,133.8034,184.1055,184.0061,128.6660
88,185.7639,130.5618,128.9797,127.7761,185.1846,132.5414,130.3402,130.3613,133.4846,184.4015,183.4924,128.4784
89,185.4764,130.2605,129.2783,127.9103,185.1171,132.2592,130.1538,130.6148,133.9073,184.2306,130.8667,128.8133
90,186.0138,130.6300,128.9041,128.6263,184.2392,132.5110,129.6737,130.6671,133.9819,184.7138,185.0019,128.8624
91,185.6996,130.9187,128.8431,128.2251,184.8272,132.5424,130.3015,130.3759,134.7878,184.7269,184.2261,128.4576
92,185.9731,130.7567,128.6168,128.3411,184.5157,132.5225,130.3941,130.6264,134.7420,184.5891,184.2685,128.8281
93,185.4346,130.1123,128.5568,127.8355,185.1235,132.5600,130.1436,131.1544,134.1822,184.5775,184.0368,128.4209
94,185.7615,130.7404,129.3348,127.7154,184.8440,132.4142,130.3581,130.7691,134.9474,185.3157,184.2673,128.8899
95,185.6813,131.7354,128.5153,127.9195,185.1632,132.0679,130.3891,130.7910,134.1179,184.8285,184.7922,129.1805
96,186.1562,131.0879,129.7570,128.5147,185.0712,132.5188,131.1556,131.1605,134.4542,185.2406,184.6329,129.2326
97,186.0368,130.6176,129.7079,128.2572,185.4348,133.0774,130.9522,130.8958,134.4180,184.5930,184.4199,129.4526
98,185.4952,130.2387,129.7388,128.7910,184.9434,133.4438,131.6374,130.5916,134.1172,184.3776,184.1787,129.4561
99,186.1936,130.5230,129.4505,127.9615,185.0834,133.0026,131.2850,131.3294,133.6416,184.6804,183.5694,130.0568
100,185.1171,130.4906,129.7533,127.8680,185.1060,133.5968,131.0382,131.1886,134.5430,185.1450,184.0761,130.4140
101,184.4788,130.5312,129.7608,128.1413,184.2164,132.7254,130.6817,131.8463,134.2276,185.0889,182.8385,130.0785
102,184.0338,130.6197,130.4295,127.9846,184.9902,132.0951,131.1666,129.8901,134.7776,185.1284,183.1787,130.1273
103,183.7616,129.9112,130.0954,127.4317,184.7588,132.2950,131.6630,130.8022,135.0439,185.2502,182.7812,130.1441
104,184.9681,130.3001,129.6919,128.1360,184.8825,131.7167,130.9989,130.2900,135.4174,185.1386,183.3464,130.1106
105,183.8226,130.3418,129.7950,128.7677,184.8676,131.6358,131.4398,131.0792,135.0440,184.0157,183.1624,129.7873
106,183.7133,130.0900,129.6959,128.8290,184.8689,131.8659,130.7999,130.9614,134.4272,183.6994,183.8676,129.8270
107,183.6605,130.3897,130.2259,128.6296,185.2898,131.4892,130.6128,130.4079,135.3158,183.9441,183.6334,130.3683
108,183.6421,129.8340,129.4970,128.9937,185.2338,131.9301,130.8521,130.6877,134.7754,183.3702,184.2001,130.0495
109,183.4000,129.9851,129.5018,129.0811,184.9294,131.9938,130.8362,130.3381,134.4504,184.0163,183.9845,130.1122
110,183.7434,129.8499,129.4374,128.5653,184.6662,131.9961,130.3393,130.9190,134.0856,184.6886,183.4782,130.2224
111,184.0093,129.5382,129.0803,128.5113,184.5649,131.0825,130.8145,130.0403,134.3696,184.4631,183.8352,129.5936
112,184.5054,130.1324,129.0061,129.1594,184.7054,131.4303,130.7096,130.2194,134.4027,184.3706,183.8678,129.5980
113,183.7670,129.6197,129.4364,128.5025,184.4905,131.2621,130.9337,130.4135,133.5672,184.5764,183.8966,129.7205
114,182.7739,129.2505,129.0729,128.7489,184.3318,131.0334,130.7779,130.7086,134.0286,183.8910,183.3232,129.8707
115,183.2743,128.9048,129.8645,129.7156,184.7005,132.0806,130.6289,130.2501,134.0825,183.2666,183.9884,129.2259
116,183.7531,129.6321,129.3958,129.4211,184.7830,132.3246,130.8615,130.2557,134.9208,183.8122,183.5823,129.5964
117,183.1958,130.0794,129.3590,129.7544,184.3071,131.7967,131.1563,130.9948,134.6074,183.7604,184.1316,129.6292
118,183.5827,130.1715,129.3839,130.0097,184.6324,132.3308,131.1412,131.1904,134.5618,183.7977,183.2572,130.0665
119,183.4722,130.9302,129.3775,130.0831,184.0017,132.0343,130.4305,131.6080,134.5958,184.2368,183.7608,129.7922
120,183.7289,130.3259,128.6122,130.1884,130.6509,131.9627,130.1383,132.2154,135.5443,184.6083,183.4906,129.5713
121,184.1830,129.9848,128.9353,129.8030,184.3111,131.5483,130.7564,132.0262,134.6708,185.5128,184.4343,130.2518
122,184.2897,130.2175,128.9257,130.6378,130.3377,132.0220,130.8099,131.8699,135.7042,184.6550,183.6339,129.9277
123,184.4397,130.8548,129.1308,130.7496,129.9583,131.6693,130.6268,131.4653,135.7186,184.6696,183.4143,130.5410
124,184.2356,130.6684,128.1615,130.2826,130.3023,132.0761,130.1170,131.2234,135.4100,184.8871,183.3968,129.8484
125,183.9541,130.8272,128.4840,131.0228,185.1433,132.0401,130.1124,131.5219,135.1483,185.0867,182.4615,130.0017
126,183.9142,130.9385,128.2076,130.3253,184.4498,132.3501,130.0408,131.4706,188.6833,184.7477,183.0388,129.3516
127,184.5601,131.3169,127.9667,130.1355,185.2105,132.8127,130.6900,131.5839,134.5152,185.5602,183.4630,129.6159
128,183.5401,131.7487,128.0101,130.5324,185.3690,133.6840,130.8368,130.9509,134.5167,185.5784,183.9703,129.1607
129,183.9554,131.6303,128.3701,131.0016,184.9526,132.8222,130.6761,130.4581,188.1801,185.7015,184.0588,129.4475
130,183.7410,131.4890,128.5900,131.1565,184.4545,132.8906,130.0216,130.7655,188.6548,186.1123,183.8932,129.5857
131,184.2129,131.0993,129.0617,130.9170,131.0018,132.5995,130.2400,131.5656,188.1300,185.9375,183.5546,130.1773
132,183.7588,131.9508,129.0063,130.2171,130.9663,132.2144,130.2638,131.3929,188.2683,185.6523,183.0289,130.8108
133,182.9533,131.8911,128.8919,129.6908,130.7956,132.1877,130.4672,130.6085,188.0230,186.7463,183.6634,131.5696
134,183.4901,130.9623,128.6296,129.6910,131.2063,131.8150,130.4468,131.6127,187.9586,185.9871,183.0419,130.7579
135,183.2279,130.6377,129.0986,129.6437,130.8959,131.8539,129.8384,131.3044,187.9172,185.2962,182.9428,130.2202
136,183.4614,130.8197,129.1659,129.8537,131.1428,131.6752,130.5756,132.1575,187.9502,186.1767,183.0032,130.6725
137,183.3444,131.2603,128.7622,130.1860,184.3055,132.2517,130.1657,131.6730,187.8451,185.8964,182.8076,131.0279
138,182.1185,130.8589,128.5390,130.2726,183.8941,131.7789,129.6921,132.2093,134.8715,185.8969,182.6390,131.0586
139,182.6789,130.8447,128.6541,130.7297,185.0695,132.1785,130.1379,132.0004,133.9729,185.6716,183.5927,130.4226
140,182.8885,130.9680,128.7310,130.5486,184.1729,132.0548,129.8159,131.8793,134.2252,185.2221,184.0387,129.9344
141,183.1680,130.5532,128.7330,130.6619,184.7722,132.5857,129.9011,131.8152,133.8954,185.9952,183.0268,130.0515
142,183.8861,130.9345,128.5676,131.1731,184.6705,132.1470,129.4221,131.3559,134.2576,185.7887,183.9710,130.0697
143,183.6203,130.7066,128.5747,130.9126,184.3338,132.6183,129.4800,130.4706,187.9489,185.4350,183.7594,129.8029
144,183.3326,130.8561,127.9872,130.1240,183.8906,133.2521,130.1384,131.3397,187.7550,185.4702,183.6625,130.4114
145,183.0193,131.4889,128.2715,130.1526,184.1558,132.2489,130.4714,131.0301,187.7879,185.6946,183.5893,130.6163
146,183.5299,131.5615,128.0743,130.6181,183.7733,132.3621,129.7683,131.6539,187.6501,185.1716,183.4074,130.3256
147,183.3503,131.5458,128.5832,130.9027,183.2681,132.4389,130.1844,130.7625,188.1731,184.9314,182.9951,130.3587
148,182.6512,131.7554,128.5435,129.9762,184.0471,131.6661,130.2904,130.2641,187.1061,185.1818,183.4298,130.4425
149,181.9932,132.1078,128.6700,130.3789,183.7447,131.4558,130.4034,130.0578,187.5986,184.6330,183.6166,130.5159
150,182.5791,131.7494,128.7834,129.6889,130.3536,130.9625,130.9542,130.2987,187.6067,185.1061,184.1228,130.4592
151,183.5472,132.6003,128.5854,129.6740,184.2570,131.2771,131.1969,129.7145,188.3337,184.6642,183.2651,130.4788
152,182.9029,132.7360,128.6343,129.5959,184.3798,130.8913,131.2097,129.4372,187.0921,185.1097,184.1422,130.3283
153,182.7672,132.3864,128.5737,129.4431,130.0584,131.3740,130.7515,129.2707,187.9011,185.7953,184.4364,130.4096
154,182.8448,132.4945,128.4405,129.6105,130.3441,131.3628,131.1668,128.2824,187.0372,185.2008,184.1398,130.7512
155,182.7386,132.2819,128.7749,129.7285,130.2748,131.6083,131.2793,128.7292,187.3313,186.6279,183.8917,130.3744
156,182.8170,132.5406,128.7285,129.6741,129.9551,131.7048,131.2867,128.4494,187.7656,185.8152,184.3336,129.7357
157,182.9217,131.9624,129.1790,130.7179,129.4553,131.4994,130.3913,129.1855,187.3242,185.5049,184.7285,129.4230
158,182.9518,132.2103,128.8089,130.9216,129.7598,131.4789,130.4896,128.9052,187.1693,185.3292,184.3454,129.3045
159,183.1725,131.7120,129.2252,131.2579,184.1202,131.9507,130.6504,128.9765,187.1463,185.1093,184.6125,129.1466
160,182.8775,131.4085,128.9013,130.2679,183.8645,132.6492,130.2282,128.2798,188.5000,184.1799,183.8347,129.3026
161,183.0167,131.1155,129.0965,130.7582,129.3514,132.8414,130.3041,129.6847,187.7446,184.7960,183.0469,129.6459
162,183.4528,130.9888,128.8024,129.9042,130.0882,132.3276,130.2406,129.3586,188.2642,184.8744,182.0268,129.0757
163,183.1389,131.2147,129.5840,130.0689,184.0098,132.4193,130.6419,129.2761,188.7596,184.2836,183.0631,128.6713
164,183.0108,131.1191,129.4690,130.4964,184.5797,132.6297,130.4696,129.5577,189.1263,184.2617,181.0259,128.8526
165,183.1240,130.4301,129.3499,130.1125,183.4634,132.0389,130.9375,129.0091,188.9643,184.4525,182.1328,128.7425
166,183.0540,131.1300,129.4068,129.7699,184.0462,132.0100,130.4268,128.7576,189.3246,184.7662,182.0917,128.4765
167,183.5219,130.6310,128.5698,130.2374,130.2485,132.2381,129.7385,129.7933,188.9610,184.5022,182.1863,128.4633
168,183.7022,130.8544,128.1565,130.8009,130.4190,132.0773,129.3377,129.9306,188.9584,183.6484,182.3751,128.6614
169,184.1306,131.1358,128.4290,131.0654,130.9395,183.4707,129.4717,130.1739,188.0018,183.2389,182.8709,129.2674
170,183.9539,130.6298,128.1897,130.9373,130.5152,132.7794,129.5402,130.8524,188.2852,183.7111,182.4573,129.4169
171,184.0331,130.6857,128.3942,131.4307,130.8834,184.0582,130.0474,130.4699,188.1441,184.0646,183.1237,129.1226
172,183.9747,131.2480,128.3136,131.4904,130.5415,183.7242,129.5649,129.4578,187.8232,184.1004,183.2237,128.7500
173,184.2422,131.1389,128.5932,131.7655,130.9214,183.5949,129.8360,129.5858,187.0140,183.9902,182.7463,128.5722
174,182.8082,130.7451,128.5494,132.3674,130.5891,183.4345,129.3506,129.5586,187.6932,184.1091,183.8011,128.7046
175,182.5234,130.5084,127.9999,132.1997,131.1181,183.3039,128.6956,129.6450,187.8165,184.4609,183.2441,128.8019
176,182.1629,130.7519,127.5896,131.1875,130.8061,184.0499,128.5827,129.6419,188.2120,184.7433,183.1319,128.8144
177,181.0731,131.0415,128.0739,130.8574,130.9712,184.3456,128.8490,129.4256,188.7852,184.4406,183.6426,127.9573
178,181.1646,131.9529,127.6584,131.2076,131.3478,183.8284,128.9525,129.4875,189.4065,185.8834,182.7950,128.6068
179,181.2343,132.3958,128.1688,131.0656,184.7991,184.2727,128.5899,128.5292,188.1376,185.4931,183.5111,128.1463
180,182.3176,132.1498,128.0583,131.0654,184.1608,184.1166,128.8947,128.9659,188.9514,184.6080,184.5030,128.1729
181,181.9121,131.8104,127.8550,130.9327,183.6906,184.2384,128.6344,129.0863,188.0606,183.9791,184.4103,128.2168
182,182.1411,131.7738,128.4048,130.4426,183.5492,183.5975,128.7195,129.3921,187.6367,185.0234,184.2717,128.2185
183,181.6150,132.0175,128.5068,130.5629,184.7392,183.9720,129.1041,129.3094,187.2947,184.0320,184.4171,128.2028
184,181.2905,132.2215,129.1286,130.6338,184.4885,183.3183,128.3574,129.2445,187.3528,184.0948,183.7280,128.2629
185,181.2809,131.9948,128.2725,131.4048,184.0078,182.7194,128.5744,129.2177,187.8820,184.1234,183.6221,128.3009
186,181.3098,131.8549,128.9050,131.0911,183.6560,183.3629,128.6008,128.0808,186.7710,185.0763,183.3023,128.6827
187,181.5688,131.7967,128.6064,132.1582,184.2852,183.5793,129.0756,128.1330,186.2603,184.7301,182.9437,128.1824
188,180.8110,131.6931,128.7769,131.2634,184.6380,184.0009,129.2190,127.6839,186.2798,183.9666,183.5634,128.1141
189,181.3879,131.7211,129.3205,131.0625,184.5686,183.2058,129.9162,128.1392,186.4843,184.3142,182.4812,127.7372
190,181.4610,132.0588,129.2482,131.9255,184.6685,183.3728,129.4570,128.0964,186.9296,183.9535,182.9380,128.0667
191,180.8793,131.8707,129.1197,131.3920,184.0526,183.1631,129.5112,128.8903,186.5437,184.3648,183.0447,128.0913
192,181.0828,131.7200,128.6308,130.9889,183.9032,183.6282,128.7089,129.6986,186.6622,185.0038,183.0366,128.4297
193,181.9114,131.9761,129.2168,130.8430,183.9157,183.8110,128.8062,129.7599,186.8948,185.0846,182.7982,129.0471
194,180.4870,132.2399,128.4634,131.3248,183.8265,183.9529,129.2550,129.7242,187.6114,184.4987,182.5925,128.5421
195,179.9200,131.6010,128.4650,131.0845,184.2180,183.9795,129.2634,129.8501,186.4946,184.7910,181.8981,128.9798
196,180.6492,131.3585,128.5299,130.7478,184.6436,183.8950,128.8787,129.7067,186.6054,184.4732,181.5157,128.4241
197,180.4705,131.8345,128.7144,130.7798,184.1210,184.2433,129.0046,129.3193,186.9856,184.3501,181.8530,129.1798
198,180.0278,131.5113,128.4157,130.5772,183.9988,183.9518,129.6355,129.3560,186.4361,184.1647,182.1902,128.6695
199,180.0589,131.8303,128.3358,130.6272,184.2668,184.3023,129.7395,130.0053,186.6457,183.8536,182.1844,128.2794
200,179.4335,131.2535,129.2321,131.4008,183.9536,183.3113,130.4668,129.6164,187.1284,183.3061,182.2724,128.6315
201,179.4807,131.3079,128.8060,130.9338,183.4284,183.9033,130.3776,130.2988,186.5884,183.1260,182.1862,129.0199
202,180.1980,131.6653,128.7018,131.1050,183.7811,184.4939,130.3489,130.6920,187.1206,182.9919,182.2549,128.4427
203,180.3829,131.3814,128.7443,131.6624,183.2264,183.9323,130.7364,129.7398,187.1120,183.4169,182.3468,127.8141
204,180.3901,130.6859,128.6006,131.3292,183.9338,183.1231,129.8859,129.1621,186.4880,184.0418,182.6413,127.7237
205,180.5814,130.8242,128.6672,130.6507,183.5751,183.4291,130.2854,128.5880,187.6055,184.4289,183.5596,128.7404
206,180.7994,131.2354,129.1905,130.7583,183.9513,183.5090,130.4781,128.0347,187.0136,184.8739,183.3020,128.6031
207,180.2915,130.9952,128.4162,130.7671,183.8815,183.6403,129.9310,128.5378,187.6883,184.2280,182.1692,127.8957
208,180.4791,131.4580,127.6249,130.2895,184.4605,184.1564,129.9690,128.5112,187.0622,184.1697,182.6919,127.9606
209,180.9976,130.9456,128.1875,130.2113,184.1406,184.0451,129.7157,127.7881,187.8480,184.4743,183.3100,128.2631
210,181.6943,131.0982,128.1010,130.9049,183.5051,183.8772,129.3662,127.5074,187.3009,184.3675,183.9154,129.2497
211,181.1649,131.6419,128.7543,130.3176,183.6046,184.6265,129.6989,127.7932,187.5147,184.4953,183.1940,129.0575
212,181.2103,131.6821,127.9612,130.7867,183.4804,184.2224,129.8320,127.7254,187.1971,184.2637,183.6501,129.1163
213,181.0267,131.8691,128.0488,130.9874,182.6016,183.9175,129.9134,127.8369,187.4823,184.4127,183.9862,128.7401
214,180.8410,131.8960,127.9551,130.7869,182.3899,183.9130,129.2160,127.5329,187.7748,184.5886,183.1360,128.4777
215,181.5920,132.0140,128.5226,130.5232,182.8496,183.0312,129.8896,127.8301,187.7097,184.1758,184.1877,128.5896
216,181.8207,131.7641,128.5903,130.2987,183.3068,182.8275,129.6123,128.4527,187.9685,183.2116,130.8899,128.4345
217,180.7527,131.9982,129.2079,130.7717,184.0202,182.1763,129.2891,128.4919,187.6580,183.3844,183.6657,129.2051
218,180.9803,131.8815,129.5186,130.2933,184.6486,182.2988,129.2786,128.4449,187.7063,183.1302,183.1049,129.1173
219,180.6192,132.1105,129.2308,130.9142,185.3503,182.5265,129.1113,128.2252,187.6762,183.4430,183.1777,128.5879
