cid,name,cnn_affinity,smiles
3962,79952-43-5,6.45099497,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
2854,"[8-[2-(4-hydroxy-6-oxooxan-2-yl)ethyl]-7-methyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] 2-methylbutanoate",6.44188452,CCC(C)C(=O)OC1CCC=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O
2476,DTXSID60860647,6.4269309,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O
100668,NSC341931,6.39904833,CCOC(=O)NC1=NC(=C2C(=C1)NCC(=N2)C3=C(C=C(C=C3)Cl)Cl)N
3915,Cabastine,6.3975997,CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F
3536,GW-8510,6.39031744,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=CC3=C(NC4=C3C5=C(C=C4)N=CS5)O
3796,WHI-P97,6.38167953,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C(=C3)Br)O)Br)OC
2662,celecoxib,6.36811304,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
2987,30635-00-8,6.35324717,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C
100494,39632-88-7,6.34752893,C1COCCN1C2=NN=C(C3=CN=C(C=C32)C4=CC=CC=C4)N5CCOCC5
10053,Gamabufotalin (Gamabufagin; Gamabufogenin),6.34119177,C[C@]12CC[C@@H](C[C@H]1CCC3C2[C@@H](C[C@]4([C@@]3(CC[C@@H]4C5=COC(=O)C=C5)O)C)O)O
101967,PREGNANETRIOL,6.31255388,C[C@@H]([C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C)O)O
10059,CID_10059,6.30542803,C[C@]12CC[C@@H](C[C@H]1CCC3C2CC[C@]4([C@@]3(C[C@@H]([C@@H]4C5=COC(=O)C=C5)O)O)C)O
20182,I.S. 3231,6.3024025,CC(C)(CO)N1CC2(CN(CC(C1)(C2=O)C3=CC=CC=C3)C(C)(C)CO)C4=CC=CC=C4
2516,"7-(hydroxymethyl)-10b-methyl-3b,4,5,6,7,8,9,10,10a,10b,11,12-dodecahydro-5a,8-methanocyclohepta[5,6]naphtho[2,1-b]furan-7-ol",6.30056572,CC12CCC3=C(C1CCC45C2CCC(C4)C(C5)(CO)O)C=CO3
201522,Rubijervine hydrobromide,6.30044508,C[C@H]1CC[C@@H]2[C@H]([C@H]3[C@@H](N2C1)C[C@@H]4[C@@]3([C@H](C[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)O)C)C.Br
51724,72935-75-2,6.29585457,COC1=CC2=C(C=C1)N(C(=O)C2(C3=CC=CC=C3)C4=CC=CC=C4)CC(=O)NO
100105,EINECS 252-661-1,6.28781652,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24
755,Urosodeoxycholic Acid Impurity 11,6.28736496,CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
3790,HDInhib_000075,6.28717375,CC1=C(C(=C(C(=C1CONC(=O)C2=CC=CC=C2)C)C)Br)C
101773,570-52-5,6.26370096,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C)O
100718,8IU5EE8ZMA,6.20655298,C1CCN(CC1)CC#CCN2C(=O)C3=CC4=C(C=C3C2=O)C(=O)N(C4=O)CC#CCN5CCCCC5
201120,"Imidazo(1,2-a)pyridine, 2-(p-nitrophenyl)-3-(piperidinomethyl)-",6.20483351,C1CCN(CC1)CC2=C(N=C3N2C=CC=C3)C4=CC=C(C=C4)[N+](=O)[O-]
101789,600-59-9,6.18049812,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C
100626,CID_100626,6.17116404,COC1=CC2=C(OC3=C(C(=O)C=C4C3=C2C(=C1OC)OC4=O)OC)O
10604,Forbisen,6.17072535,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C3=C(N(N(C3=O)C4=CC=CC=C4)C)C
2348,benzylhydrochlorothiazide,6.16712999,C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl
11014,545-51-7,6.15911818,C[C@]12CCC3C([C@]1(CC[C@@H]2C4=COC(=O)C=C4)O)CC=C5[C@@]3(CCC=C5)C
20728,NS00031576,6.15827703,CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC(=O)CCC(=O)O)C)C
100354,72766-24-6,6.15786219,CC1=NC2=C(C(=C(C=C2N1)[N+](=O)[O-])N3CCN(CC3)C4=CC=CC=C4)[N+](=O)[O-]
100442,24488-96-8,6.15105057,CC1=CC(=NO1)C(=O)NC(C)C2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
201157,CID_201157,6.14699793,C[C@@]12C[C@@H](CC34[C@@H]1[C@H]5CC67[C@H]3[C@H](C(C[C@@H]6C4N5C2)C(=C)[C@H]7O)O)OC(=O)C8=CC=CC=C8
100679,82585-94-2,6.14382362,CCOC(=O)NC1=NC(=C2C(=C1)NCC(=N2)C3=CC(=C(C=C3)C)C)N
400954,CID_400954,6.13017082,CCOC1=C(C=C2C(=C1)N(C(=NC3=CC4=C(C=C3)N=NN4CC(=O)OCC)C(=[N+]2[O-])C)O)F
401474,NSC715132,6.12988806,C1=CC=C2C(=C1)N=C(C(=N2)OC3=CC=C(C=C3)CC(=O)O)C4=CC=CS4
101688,"3-hydroxy-17-(7-hydroxy-6-methyl-3-oxoheptan-2-yl)-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,17-dodecahydrocyclopenta[a]phenanthren-16-one",6.12115812,CC(CCC(=O)C(C)C1C(=O)CC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CO
10119,Bufotaline,6.11719084,CC(=O)O[C@H]1C[C@@]2(C3CC[C@@H]4C[C@H](CC[C@@]4(C3CC[C@@]2([C@H]1C5=COC(=O)C=C5)C)C)O)O
3813,97161-97-2,6.11614037,CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(C(=O)OC)O
