cid,name,cnn_affinity,ml_score,nod2_scout_score,qed,mw,logp,pains_alerts,lipinski_violations,smiles
100718,8IU5EE8ZMA,6.20655298,0.98008305,0.76936126,0.5096491546285978,486.57200000000046,0.8910000000000009,0,0,C1CCN(CC1)CC#CCN2C(=O)C3=CC4=C(C=C3C2=O)C(=O)N(C4=O)CC#CCN5CCCCC5
201120,"Imidazo(1,2-a)pyridine, 2-(p-nitrophenyl)-3-(piperidinomethyl)-",6.20483351,0.9052394,0.7618953,0.5353703191349316,336.3950000000001,3.895400000000003,0,0,C1CCN(CC1)CC2=C(N=C3N2C=CC=C3)C4=CC=C(C=C4)[N+](=O)[O-]
100760,82232-19-7,6.55109596,0.9902524,0.7579857,0.4745695533064382,486.3110000000004,4.163780000000003,0,0,C1=CC(=CC=C1C2=C(C(=O)N(N=C2C3=CC=C(C=C3)Cl)CCOC(=O)CCC(=O)O)C#N)Cl
100442,24488-96-8,6.15105057,0.99119747,0.7574493,0.6408036026518218,434.5180000000003,2.794620000000001,0,0,CC1=CC(=NO1)C(=O)NC(C)C2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
400715,713079-03-9,6.49277687,0.99750215,0.7557722,0.3457170759869399,481.4830000000002,4.777500000000003,0,0,C1CN(C[C@H]1N)C2=C(C=C3C4=C2OC5=C(N4C=C(C3=O)C(=O)O)C=C6C=CC7=CC=CC=C7C6=C5)F
100679,82585-94-2,6.14382362,0.8551817,0.7532124,0.7953362014764914,339.3990000000001,3.395340000000001,0,0,CCOC(=O)NC1=NC(=C2C(=C1)NCC(=N2)C3=CC(=C(C=C3)C)C)N
100354,72766-24-6,6.15786219,0.98738664,0.7482624,0.5435122884276532,382.38000000000005,3.0143200000000014,0,0,CC1=NC2=C(C(=C(C=C2N1)[N+](=O)[O-])N3CCN(CC3)C4=CC=CC=C4)[N+](=O)[O-]
3813,97161-97-2,6.11614037,0.99578863,0.74175096,0.3671668610956925,467.4810000000002,3.655100000000003,0,0,CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(C(=O)OC)O
3536,GW-8510,6.39031744,0.9933763,0.73268306,0.34290315121600895,449.51700000000017,4.429600000000003,0,0,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=CC3=C(NC4=C3C5=C(C=C4)N=CS5)O
755,Urosodeoxycholic Acid Impurity 11,6.28736496,0.9923375,0.7324514,0.41029008713090476,465.63100000000026,2.5649000000000015,0,0,CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
2348,benzylhydrochlorothiazide,6.16712999,0.81677014,0.7195105,0.7321819270124919,387.87,1.26,0,0,C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl
100626,CID_100626,6.17116404,0.8675549,0.7015454,0.4448579990629538,344.2750000000001,2.1734000000000004,0,0,COC1=CC2=C(OC3=C(C(=O)C=C4C3=C2C(=C1OC)OC4=O)OC)O
400954,CID_400954,6.13017082,0.99033713,0.69020385,0.20289574528034438,456.43400000000025,1.8984199999999996,0,0,CCOC1=C(C=C2C(=C1)N(C(=NC3=CC4=C(C=C3)N=NN4CC(=O)OCC)C(=[N+]2[O-])C)O)F
3790,HDInhib_000075,6.28717375,0.41317135,0.65325063,0.8110702312778821,362.26700000000005,4.544380000000004,0,0,CC1=C(C(=C(C(=C1CONC(=O)C2=CC=CC=C2)C)C)Br)C
